"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"1","ww-grainger",NA,9478,15009,15647,17375,15791,14051,13463,16584,17136,14735,"Trading Companies","United States","http://images.forbes.com/media/lists/companies/ww-grainger_416x416.jpg"
"2","guangzhou-automobile-group",NA,NA,NA,NA,7356,9508,17021,19217,18554,19280.8,9231,"Consumer Durables","China","http://images.forbes.com/media/lists/companies/guangzhou-automobile-group_416x416.jpg"
"3","otsuka-holding",NA,13759,15756,18573,16138,17704,22184,25053,26038,18994,21577,"Drugs & Biotechnology","Japan","http://images.forbes.com/media/lists/companies/otsuka-holding_416x416.jpg"
"4","hsbc-holdings",NA,186472,164312,201312,192566,167746,132956,162638,200293,175460,105318,"Banking","United Kingdom","http://images.forbes.com/media/lists/companies/hsbc-holdings_416x416.jpg"
"5","china-everbright-bank",NA,23740,18994,21019,18601,35058,25667,26791,32213,31826,22276,"Banking","China","http://images.forbes.com/media/lists/companies/china-everbright-bank_416x416.jpg"
"6","mitsui-chemicals",NA,3405,3186,2265,2456,3315,3519,4754,5850,4931,3879,"Chemicals","Japan","http://images.forbes.com/media/lists/companies/mitsui-chemicals_416x416.jpg"
"7","china-tower",NA,NA,NA,NA,NA,NA,NA,NA,NA,49357,39268,"Telecommunications Services","China","http://images.forbes.com/media/lists/companies/china-tower_416x416.jpg"
"8","target",NA,35714,39094,43106,38351,53483,49397,29424,37649,42990,54851,"Retailing","United States","http://images.forbes.com/media/lists/companies/target_416x416.jpg"
"9","conagra-brands",NA,10183,10905,14445,12980,16245,19455,17229,14895,14830,16288,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/conagra-brands_416x416.jpg"
"10","humana",NA,10863,14213,11052,17525,26673,26123,30408,39201,32647,50479,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/humana_416x416.jpg"
"11","tc-energy",NA,27737,31091,33861,35430,30736,32027,40608,39085,43249,43345,"Oil & Gas Operations","Canada","http://images.forbes.com/media/lists/companies/tc-energy_416x416.jpg"
"12","tiffany-co",NA,NA,NA,NA,NA,NA,NA,NA,NA,13006,15349,"Retailing","United States","http://images.forbes.com/media/lists/companies/tiffany-co_416x416.jpg"
"13","pkn-orlen",NA,7425,5097,7384,6043,6966,7717,11176,10366,11364,6441,"Oil & Gas Operations","Poland","http://images.forbes.com/media/lists/companies/pkn-orlen_416x416.jpg"
"14","moderna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15131,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/moderna_416x416.jpg"
"15","american-electric",NA,17218,18723,23264,24584,27957,30810,33102,33078,40948,41126,"Utilities","United States","http://images.forbes.com/media/lists/companies/american-electric_416x416.jpg"
"16","tata-consultancy-services",NA,46557,45533,56890,71250,80268,71585,74475,98445,116097,100679,"IT Software & Services","India","http://images.forbes.com/media/lists/companies/tata-consultancy-services_416x416.jpg"
"17","deutsche-telekom",NA,60735,50470,48420,71196,85013,81762,80001,80831,79386,69223,"Telecommunications Services","Germany","http://images.forbes.com/media/lists/companies/deutsche-telekom_416x416.jpg"
"18","monster-beverage",NA,NA,10378,8009,11853,23415,24957,25979,27723,29982,32546,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/monster-beverage_416x416.jpg"
"19","yuzhou-properties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2223,"Construction","China","http://images.forbes.com/media/lists/companies/yuzhou-properties_416x416.jpg"
"20","schneider-electric",NA,43278,38435,42162,50736,47506,39281,41911,48385,47553,50363,"Capital Goods","France","http://images.forbes.com/media/lists/companies/schneider-electric_416x416.jpg"
